City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
albany,42.6001,-73.9662,49.68,68,97,5.59,US,1635032133
punta arenas,-53.15,-70.9167,35.71,87,90,27.63,CL,1635031999
haines junction,60.7522,-137.5108,39.15,70,71,0.0,CA,1635032068
maloy,61.9353,5.1136,49.73,80,100,13.0,NO,1635032146
saint-philippe,-21.3585,55.7679,72.99,84,58,11.81,RE,1635032014
gayny,60.3071,54.3241,39.34,76,83,6.64,RU,1635032148
rikitea,-23.1203,-134.9692,75.0,82,98,18.97,PF,1635031925
namatanai,-3.6667,152.4333,85.78,66,37,6.98,PG,1635032149
saint-pierre,-21.3393,55.4781,73.08,81,40,6.91,RE,1635032150
changping,40.2186,116.2197,41.52,51,2,2.1,CN,1635032151
busselton,-33.65,115.3333,61.86,66,95,4.76,AU,1635032152
whitehorse,60.7161,-135.0538,44.02,60,75,8.99,CA,1635032153
victoria,22.2855,114.1577,70.25,79,87,4.0,HK,1635031882
hermanus,-34.4187,19.2345,56.89,70,31,2.77,ZA,1635032155
diego de almagro,-26.3667,-70.05,57.63,47,0,4.68,CL,1635032156
chuy,-33.6971,-53.4616,56.82,87,93,7.18,UY,1635032157
lebu,-37.6167,-73.65,50.58,92,14,8.34,CL,1635032157
isangel,-19.55,169.2667,80.71,78,75,9.22,VU,1635032007
faanui,-16.4833,-151.75,76.68,85,86,11.86,PF,1635032160
mogadishu,2.0371,45.3438,78.53,84,4,9.8,SO,1635032160
longyearbyen,78.2186,15.6401,19.24,73,20,4.61,SJ,1635032161
bengkulu,-3.8004,102.2655,77.2,85,57,2.59,ID,1635032163
bambous virieux,-20.3428,57.7575,73.65,83,40,11.5,MU,1635032163
tuktoyaktuk,69.4541,-133.0374,30.2,86,90,9.22,CA,1635032164
labytnangi,66.6572,66.4183,26.76,85,100,14.38,RU,1635032165
westport,41.1415,-73.3579,58.78,77,90,1.01,US,1635032137
port elizabeth,-33.918,25.5701,57.49,82,40,19.57,ZA,1635032167
sept-iles,50.2001,-66.3821,46.92,100,90,8.05,CA,1635032003
acapulco,16.8634,-99.8901,73.22,94,90,13.8,MX,1635032061
port alfred,-33.5906,26.891,58.08,67,7,15.41,ZA,1635032169
fortuna,40.5982,-124.1573,64.09,77,20,7.0,US,1635032170
omsukchan,62.5333,155.8,2.3,90,81,2.3,RU,1635032171
la rioja,42.25,-2.5,41.49,51,0,6.31,ES,1635032172
ballina,-28.8667,153.5667,82.58,46,39,20.71,AU,1635032173
ushuaia,-54.8,-68.3,33.46,93,75,23.02,AR,1635032175
sao filipe,14.8961,-24.4956,79.2,69,9,8.48,CV,1635032177
moses lake,47.1301,-119.2781,57.88,62,90,11.5,US,1635032178
bethel,41.3712,-73.414,55.76,72,90,3.44,US,1635032082
kavaratti,10.5669,72.642,80.55,78,83,2.06,IN,1635032180
hilo,19.7297,-155.09,84.27,67,75,6.91,US,1635032090
bluff,-46.6,168.3333,52.05,95,100,2.24,NZ,1635032181
chapais,49.7834,-74.8492,33.58,84,100,0.92,CA,1635032182
samarai,-10.6167,150.6667,80.85,82,66,11.72,PG,1635032183
podolinec,49.2587,20.536,40.91,75,80,7.96,SK,1635032184
bima,-8.4667,118.7167,86.32,59,41,2.82,ID,1635032185
husavik,66.0449,-17.3389,33.71,96,99,4.59,IS,1635032186
nome,64.5011,-165.4064,34.16,69,1,4.61,US,1635032186
idil,37.3411,41.8895,60.17,23,0,5.39,TR,1635032187
cabra,37.4725,-4.4421,58.89,83,31,4.21,ES,1635032188
dikson,73.5069,80.5464,7.92,87,99,13.02,RU,1635032008
zhangye,38.9342,100.4517,42.73,56,90,5.7,CN,1635032190
barabai,-2.5833,115.3833,79.7,82,99,0.74,ID,1635032190
alyangula,-13.8483,136.4192,85.87,74,75,8.05,AU,1635032191
georgetown,5.4112,100.3354,78.89,88,20,1.99,MY,1635032092
umm lajj,25.0213,37.2685,77.31,64,0,11.07,SA,1635032193
new norfolk,-42.7826,147.0587,52.66,79,100,3.0,AU,1635032193
erenhot,43.6475,111.9767,41.27,45,0,6.26,CN,1635032194
salas,43.4118,-6.2602,57.29,73,63,4.52,ES,1635032195
shahrud,36.4182,54.9763,45.88,27,0,0.49,IR,1635032196
cape town,-33.9258,18.4232,57.11,74,0,1.14,ZA,1635032139
lisakovsk,52.5369,62.4936,49.01,82,100,11.59,KZ,1635032197
